altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,1,26,Chicago,33,True,True,Chicago,2022-02-22 21:16:22,41.877181,Chicago,-87.627844,60602,Chicago,Chicago,State St & Van Buren St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,3,12,Chicago,34,True,True,Chicago,2022-02-22 16:33:35,41.9267559875,Chicago,-87.6344287848,60602,Chicago,Chicago,Cannon Dr & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,42,5,Chicago,35,True,True,Chicago,2022-02-22 21:45:55,41.892278,Chicago,-87.612043,60602,Chicago,Chicago,Streeter Dr & Grand Ave,IN_SERVICE,1,IN_SERVICE,False,47
0.0,4,35,Chicago,36,True,True,Chicago,2022-02-22 22:15:55,41.8777079559,Chicago,-87.6353211408,60602,Chicago,Chicago,Franklin St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,39
0.0,0,19,Chicago,37,True,True,Chicago,2022-02-22 17:56:11,41.8793563587,Chicago,-87.6297910363,60602,Chicago,Chicago,Dearborn St & Adams St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,1,26,Chicago,38,True,True,Chicago,2022-02-22 22:53:43,41.88602082773,Chicago,-87.6308760584,60602,Chicago,Chicago,Clark St & Lake St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,0,23,Chicago,39,True,True,Chicago,2022-02-22 19:26:50,41.87947235235,Chicago,-87.6256886059,60602,Chicago,Chicago,Wabash Ave & Adams St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,0,15,Chicago,40,True,True,Chicago,2022-02-22 18:01:24,41.87934437346,Chicago,-87.6319852213,60602,Chicago,Chicago,LaSalle St & Adams St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,12,Chicago,41,True,True,Chicago,2022-02-22 22:47:35,41.87207763285,Chicago,-87.6295437729,60602,Chicago,Chicago,Federal St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,2,8,Chicago,42,True,True,Chicago,2022-02-22 21:25:06,41.852619,Chicago,-87.626488,60602,Chicago,Chicago,Wabash Ave & Cermak Rd,IN_SERVICE,1,IN_SERVICE,False,11
0.0,0,43,Chicago,43,True,True,Chicago,2022-02-22 18:27:21,41.8839840647265,Chicago,-87.6246839761734,60602,Chicago,Chicago,Michigan Ave & Washington St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,2,21,Chicago,44,True,True,Chicago,2022-02-22 23:58:15,41.88462107257936,Chicago,-87.62783423066139,60602,Chicago,Chicago,State St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,0,15,Chicago,45,True,True,Chicago,2022-02-22 18:20:13,41.876243,Chicago,-87.624426,60602,Chicago,Chicago,Michigan Ave & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,15,Chicago,46,True,True,Chicago,2022-02-22 21:53:44,41.89993001,Chicago,-87.63443007,60602,Chicago,Chicago,Wells St & Walton St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,6,24,Chicago,47,True,True,Chicago,2022-02-23 01:27:27,41.889187,Chicago,-87.627754,60602,Chicago,Chicago,State St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,6,36,Chicago,48,True,True,Chicago,2022-02-23 02:56:14,41.897764,Chicago,-87.642884,60602,Chicago,Chicago,Larrabee St & Kingsbury St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,1,35,Chicago,49,True,True,Chicago,2022-02-22 22:35:10,41.881319815,Chicago,-87.6295209193,60602,Chicago,Chicago,Dearborn St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,5,29,Chicago,50,True,True,Chicago,2022-02-22 20:54:21,41.8759326655,Chicago,-87.6305845355,60602,Chicago,Chicago,Clark St & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,35
0.0,1,42,Chicago,51,True,True,Chicago,2022-02-22 20:34:58,41.884576228,Chicago,-87.63188991,60602,Chicago,Chicago,Clark St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,1,33,Chicago,52,True,True,Chicago,2022-02-23 00:40:57,41.886024,Chicago,-87.624117,60602,Chicago,Chicago,Michigan Ave & Lake St,IN_SERVICE,1,IN_SERVICE,False,35
0.0,0,27,Chicago,53,True,True,Chicago,2022-02-23 01:03:11,41.894722,Chicago,-87.634362,60602,Chicago,Chicago,Wells St & Huron St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,11,8,Chicago,54,True,True,Chicago,2022-02-23 01:58:24,41.896362458,Chicago,-87.6540612729,60602,Chicago,Chicago,Ogden Ave & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,12,11,Chicago,55,True,True,Chicago,2022-02-22 21:19:00,41.867324,Chicago,-87.648625,60602,Chicago,Chicago,Halsted St & Roosevelt Rd,IN_SERVICE,1,IN_SERVICE,False,23
0.0,0,26,Chicago,56,True,True,Chicago,2022-02-23 02:22:48,41.888716036,Chicago,-87.6444478533,60602,Chicago,Chicago,Desplaines St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,27
